Show_ID,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Genre,Description
s1000,Movie,Netflix Title 1,Raj Kumar,"Actor C, Actor D",Japan,2019-04-06,2016,G,2 Seasons,Action,This is a Netflix show focused on entertainment and storytelling.
s1001,TV Show,Netflix Title 2,Raj Kumar,"Actor E, Actor F",India,2015-10-27,1999,TV-PG,3 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
s1002,Movie,Netflix Title 3,Raj Kumar,"Actor C, Actor D",United Kingdom,2015-05-19,2021,PG,1 Season,Action,This is a Netflix show focused on entertainment and storytelling.
s1003,Movie,Netflix Title 4,Unknown,"Actor C, Actor D",India,2015-12-25,1996,TV-MA,90 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1004,Movie,Netflix Title 5,Christopher Nolan,,,2017-04-15,2024,PG,90 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1005,TV Show,Netflix Title 6,Unknown,Not Available,United Kingdom,2019-03-03,2009,G,3 Seasons,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1006,Movie,Netflix Title 7,Christopher Nolan,"Actor A, Actor B",United Kingdom,2024-06-18,2001,TV-14,1 Season,Action,This is a Netflix show focused on entertainment and storytelling.
s1007,Movie,Netflix Title 8,Unknown,Not Available,India,2019-06-16,1998,TV-MA,100 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1008,Movie,Netflix Title 9,Unknown,"Actor E, Actor F",Japan,2020-06-05,1995,G,2 Seasons,Horror,This is a Netflix show focused on entertainment and storytelling.
s1009,TV Show,Netflix Title 10,Karan Johar,"Actor A, Actor B",Canada,2018-07-27,2007,PG,2 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1010,Movie,Netflix Title 11,Unknown,"Actor E, Actor F",Japan,2021-12-05,2014,PG-13,120 min,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1011,Movie,Netflix Title 12,Anurag Kashyap,"Actor E, Actor F",United States,2017-06-27,2016,R,1 Season,Drama,This is a Netflix show focused on entertainment and storytelling.
s1012,Movie,Netflix Title 13,Karan Johar,,South Korea,2018-02-08,2001,G,120 min,Thriller,This is a Netflix show focused on entertainment and storytelling.
